      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
     126       6       5    1955        3.7800000        4.4280212
     127       7       5    1955        3.9300000        4.1755284
     128       8       5    1955        3.6300000        3.9874428
     129       9       5    1955        3.3500000        3.7413792
     130      10       5    1955        3.3500000        3.5719293
     131      11       5    1955        3.6300000        3.6555518
     132      12       5    1955        3.3500000        4.1053041
     133      13       5    1955        3.3500000        3.8348079
     134      14       5    1955        3.0900000        3.6352484
     135      15       5    1955        3.2200000        3.5314198
     136      16       5    1955        3.4900000        3.5198612
     137      17       5    1955        3.3500000        3.5574428
     138      18       5    1955        3.2200000        3.5097878
     139      19       5    1955        2.9600000        3.4195913
     140      20       5    1955        2.9600000        3.2941962
     141      21       5    1955        2.9600000        3.1990535
     142      22       5    1955        3.2200000        3.1492882
     143      23       5    1955        2.9600000        3.1313760
     144      24       5    1955        2.9600000        3.0577575
     145      25       5    1955        2.9600000        2.9712501
     146      26       5    1955        3.0900000        2.8915352
     147      27       5    1955        3.0900000        2.8189206
     148      28       5    1955        3.2200000        2.7721556
     149      29       5    1955        2.9600000        2.7687749
     150      30       5    1955        2.8400000        2.7637593
     151      31       5    1955        2.8400000        2.7141090
     152       1       6    1955        2.8400000        2.6518643
     153       2       6    1955        2.8400000        2.5939357
     154       3       6    1955        2.7200000        2.5401296
     155       4       6    1955        2.6000000        2.4899285
     156       5       6    1955        2.7200000        2.4428994
     157       6       6    1955        2.9600000        2.3986685
     158       7       6    1955        2.9600000        2.3569224
     159       8       6    1955        3.2200000        2.3195064
     160       9       6    1955        3.2200000        3.2109873
     161      10       6    1955       14.1000000        7.2689949
     162      11       6    1955        5.3500000        8.9721133
     163      12       6    1955        4.0900000        7.8331971
     164      13       6    1955        4.2400000        6.8737897
     165      14       6    1955        4.7500000        5.7924624
     166      15       6    1955        4.4000000        5.9191504
     167      16       6    1955        4.0900000        6.7511286
     168      17       6    1955        3.7800000        5.7817017
     169      18       6    1955        3.4900000        4.6911043
     170      19       6    1955        3.4900000        4.2887600
     171      20       6    1955        3.4900000        4.0597195
     172      21       6    1955        3.4900000        3.8591250
     173      22       6    1955        3.4900000        3.6820823
     174      23       6    1955        3.4900000        3.5251380
     175      24       6    1955        3.4900000        3.3855684
     176      25       6    1955        3.6300000        3.2612666
     177      26       6    1955        3.7800000        3.1898452
     178      27       6    1955        3.7800000        3.0713022
     179      28       6    1955        3.6300000        2.9862804
     180      29       6    1955        3.9300000        2.9032505
     181      30       6    1955        3.6300000        2.8256069
     182       1       7    1955        3.6300000        2.7633011
     183       2       7    1955        3.4900000        2.7271292
     184       3       7    1955        3.2200000        2.6745383
     185       4       7    1955        3.6300000        2.6675792
     186       5       7    1955        3.9300000        3.1387642
     187       6       7    1955        4.4000000        5.6503384
     188       7       7    1955        9.6000000        8.9916113
     189       8       7    1955        5.7800000        9.8605644
     190       9       7    1955        4.2400000       11.8124117
     191      10       7    1955        3.9300000        8.6991532
     192      11       7    1955        4.2400000        5.7084259
     193      12       7    1955        3.7800000        4.8694496
     194      13       7    1955        3.9300000        4.5701557
     195      14       7    1955        4.5700000        4.4120325
     196      15       7    1955        3.9300000        4.4985873
     197      16       7    1955        3.4900000        4.3902010
     198      17       7    1955        3.4900000        4.1171086
     199      18       7    1955        4.0900000        4.4757922
     200      19       7    1955        7.7600000        5.7656220
     201      20       7    1955        4.4000000        5.6112440
     202      21       7    1955        4.2400000        4.6144032
     203      22       7    1955        4.0900000        4.3165218
     204      23       7    1955        3.9300000        4.1448341
     205      24       7    1955        3.6300000        4.0146010
     206      25       7    1955        3.9300000        3.8344744
     207      26       7    1955        3.9300000        3.6804331
     208      27       7    1955        3.7800000        3.5435813
     209      28       7    1955        3.7800000        3.4416637
     210      29       7    1955        3.6300000        4.2695664
     211      30       7    1955        3.4900000        6.8380602
     212      31       7    1955        3.9300000        7.5784717
     213       1       8    1955        4.0900000        6.0298526
     214       2       8    1955        8.4400000        6.3504978
     215       3       8    1955        6.4400000        8.1185431
     216       4       8    1955        5.3500000        7.6254145
     217       5       8    1955        4.4000000        5.9146040
     218       6       8    1955        4.0900000        5.2101027
     219       7       8    1955        4.0900000        4.9010338
     220       8       8    1955        3.9300000        4.6597530
     221       9       8    1955        3.9300000        4.5462918
     222      10       8    1955        3.9300000        4.6494504
     223      11       8    1955        3.7800000        4.5483793
     224      12       8    1955        3.6300000        4.3025603
     225      13       8    1955        3.9300000        4.2141902
     226      14       8    1955        4.0900000        4.4647141
     227      15       8    1955        4.2400000        4.3765151
     228      16       8    1955        4.0900000        4.0892297
     229      17       8    1955        3.9300000        3.9130777
     230      18       8    1955        3.7800000        3.7707114
     231      19       8    1955        3.7800000        3.6408704
     232      20       8    1955        3.6300000        3.5236925
     233      21       8    1955        3.6300000        3.4175879
     234      22       8    1955        3.6300000        3.3211072
     235      23       8    1955        3.6300000        3.2329770
     236      24       8    1955        3.4900000        3.1521061
     237      25       8    1955        3.6300000        3.0775640
     238      26       8    1955        3.6300000        3.0088705
     239      27       8    1955        3.6300000        2.9488416
     240      28       8    1955        3.6300000        2.9124123
     241      29       8    1955        3.6300000        2.8572341
     242      30       8    1955        3.4900000        2.8014134
     243      31       8    1955        3.4900000        2.7499829
     244       1       9    1955        3.4900000        2.7561966
     245       2       9    1955        3.3500000        2.8195443
     246       3       9    1955        3.3500000        2.6946467
     247       4       9    1955        3.2200000        2.6310998
     248       5       9    1955        3.0900000        2.5853849
     249       6       9    1955        3.2200000        2.5710605
     250       7       9    1955        3.3500000        2.7992955
     251       8       9    1955        3.3500000        2.8256614
     252       9       9    1955        3.3500000        2.6333511
     253      10       9    1955        3.2200000        2.5378037
     254      11       9    1955        3.2200000        2.4943633
     255      12       9    1955        3.2200000        2.4555833
     256      13       9    1955        3.2200000        2.4138582
     257      14       9    1955        3.0900000        2.3780753
     258      15       9    1955        3.2200000        2.4161259
     259      16       9    1955        3.3500000        3.0357575
     260      17       9    1955        3.3500000        3.3584611
     261      18       9    1955        3.2200000        2.8091040
     262      19       9    1955        3.3500000        2.6248282
     263      20       9    1955        3.3500000        2.5655486
     264      21       9    1955        3.2200000        2.4868373
     265      22       9    1955        3.0900000        2.4259714
     266      23       9    1955        2.9600000        2.3701910
     267      24       9    1955        2.9600000        2.3185479
     268      25       9    1955        2.9600000        2.2705387
     269      26       9    1955        2.9600000        2.2261920
     270      27       9    1955        3.0900000        2.1901582
     271      28       9    1955        2.9600000        2.1638201
     272      29       9    1955        2.8400000        2.1526396
     273      30       9    1955        2.8400000        2.1566373
     274       1      10    1955        2.7200000        2.1435371
     275       2      10    1955        2.7200000        2.0927026
     276       3      10    1955        2.7200000        2.0541947
     277       4      10    1955        2.7200000        2.0182843
     278       5      10    1955        2.7200000        1.9840869
     279       6      10    1955        2.6000000        1.9520742
     280       7      10    1955        2.6000000        1.9236283
     281       8      10    1955        2.6000000        1.9019061
     282       9      10    1955        2.6000000        1.8888431
     283      10      10    1955        2.4800000        1.8681063
     284      11      10    1955        2.6000000        1.8401355
     285      12      10    1955        2.6000000        1.8121268
     286      13      10    1955        2.4800000        1.7852336
     287      14      10    1955        2.4800000        1.7593903
     288      15      10    1955        2.4800000        1.7348246
     289      16      10    1955        2.4800000        1.7253179
     290      17      10    1955        2.6000000        1.9018139
     291      18      10    1955        2.4800000        1.8620732
     292      19      10    1955        2.3700000        1.7748722
     293      20      10    1955        2.4800000        1.7413212
     294      21      10    1955        2.4800000        1.7107725
     295      22      10    1955        2.6000000        1.9872129
     296      23      10    1955        3.0900000        3.6672358
     297      24      10    1955        2.8400000        4.1784438
     298      25      10    1955        2.7200000        2.6513517
     299      26      10    1955        2.7200000        2.6404545
     300      27      10    1955        2.9600000        3.9483751
     301      28      10    1955        3.0900000        3.8091132
     302      29      10    1955        3.2200000        3.2675628
     303      30      10    1955        3.0900000        3.1550073
     304      31      10    1955        2.6000000        2.8816464
     305       1      11    1955        2.5800000        2.7288528
     306       2      11    1955        2.5800000        2.5993563
     307       3      11    1955        2.3300000        2.4854587
     308       4      11    1955        2.2200000        2.3859025
     309       5      11    1955        2.2200000        2.3071607
     310       6      11    1955        2.1200000        2.2526728
     311       7      11    1955        2.2200000        2.2113266
     312       8      11    1955        2.2200000        2.1489562
     313       9      11    1955        2.0100000        2.0841691
     314      10      11    1955        2.0100000        2.0241773
